Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
Zheng DBSCAN,AdditionalLogs,gradual_drift_00,,,,[np.float64(798.8)],"[500, 1000]",,,00:00:00,0.3406926000025123,0.0002433518571446,,,,700.0,280.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_00,,,,[np.float64(798.8)],"[500, 1000]",,,00:00:00,0.3406926000025123,0.0002433518571446,,,,700.0,350.0,,,
LCDD,AdditionalLogs,gradual_drift_07,1200.0,1200.0,200.0,[],"[500, 1000]",,,00:00:00,0.0074558999986038,5.32564285614561e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[457, 1082, 1457]","[500, 1000]",0.8,62.5,00:00:01,1.5252820999958203,0.0010168547333305,0.1,100.0,400.0,,,,,
LCDD,AdditionalLogs,sudden_drift_04,100.0,100.0,20.0,"[108, 209, 309, 409, 512, 633, 757, 865, 980, 1080, 1186, 1295, 1415]","[500, 1000]",0.2666666666666667,16.0,00:00:00,0.0197648000030312,1.317653333535418e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[609, 1257]","[500, 1000]",0.5,109.0,00:00:02,2.631384200001776,0.0017542561333345,0.0001,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,"[673, 1321]","[500, 1000]",0.5,173.0,00:00:08,8.59363730000041,0.0057290915333336,0.005,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[557, 1069]","[500, 1000]",1.0,63.0,00:00:08,8.630501699997694,0.0057536677999984,0.0001,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_01,,,,"[546, 1134]","[500, 1000]",1.0,90.0,00:00:04,4.42396820000431,0.0029493121333362,0.0001,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_02,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.3196776999975554,0.0002283412142839,0.0001,400.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[569, 1319]","[500, 1000]",0.5,69.0,00:00:01,1.757493599994632,0.0011716623999964,0.05,200.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_07,,,,"[468, 1040]","[500, 1000]",1.0,36.0,00:00:00,0.7610786000004737,0.0005073857333336,0.05,100.0,500.0,,,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,"[np.float64(977.3846153846154), np.float64(1268.6666666666667), np.float64(1384.0)]","[500, 1000]",0.4,22.61538461538464,00:00:00,0.482542799996736,0.000344673428569,,,,800.0,80.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(1052.7058823529412)],"[500, 1000]",0.6666666666666666,52.70588235294122,00:00:00,0.482542799996736,0.000344673428569,,,,800.0,160.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(1052.7058823529412)],"[500, 1000]",0.6666666666666666,52.70588235294122,00:00:00,0.482542799996736,0.000344673428569,,,,800.0,240.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(1052.7058823529412)],"[500, 1000]",0.6666666666666666,52.70588235294122,00:00:00,0.482542799996736,0.000344673428569,,,,800.0,320.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(1052.7058823529412)],"[500, 1000]",0.6666666666666666,52.70588235294122,00:00:00,0.482542799996736,0.000344673428569,,,,800.0,400.0,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_02,,,,"[450, 1074]","[500, 1000]",1.0,62.0,00:00:09,9.750334999996994,0.0069645249999978,0.05,100.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_03,,,,"[633, 1152]","[500, 1000]",1.0,142.5,00:00:03,3.2709820000018226,0.0021806546666678,0.005,200.0,400.0,,,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_07,,,,"[np.float64(740.5), np.float64(937.0)]","[500, 1000]",0.5,63.0,00:00:00,0.2828368999980739,0.0002020263571414,,,,700.0,70.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_07,,,,"[np.float64(740.5), np.float64(937.0)]","[500, 1000]",0.5,63.0,00:00:00,0.2828368999980739,0.0002020263571414,,,,700.0,140.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_07,,,,[np.float64(858.4)],"[500, 1000]",0.6666666666666666,141.60000000000002,00:00:00,0.2828368999980739,0.0002020263571414,,,,700.0,210.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_07,,,,[np.float64(792.3333333333334)],"[500, 1000]",,,00:00:00,0.2828368999980739,0.0002020263571414,,,,700.0,280.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_07,,,,[np.float64(792.3333333333334)],"[500, 1000]",,,00:00:00,0.2828368999980739,0.0002020263571414,,,,700.0,350.0,,,
LCDD,AdditionalLogs,recurring_drift_04,800.0,800.0,20.0,[],"[500, 1000]",,,00:00:00,0.0118730000031064,7.915333335404283e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_06,,,,[],"[500, 1000]",,,00:00:04,4.446689199998218,0.0029644594666654,0.0001,400.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,"[717, 1667]","[500, 1000]",,,00:00:11,11.692180199999711,0.0077947867999998,0.05,100.0,700.0,,,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_02,,,,"[np.float64(761.6923076923077), np.float64(1041.56), np.float64(1245.0), np.float64(1332.5)]","[500, 1000]",0.3333333333333333,41.559999999999945,00:00:00,0.4060905000005732,0.0002900646428575,,,,500.0,50.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_02,,,,[np.float64(779.4)],"[500, 1000]",,,00:00:00,0.4060905000005732,0.0002900646428575,,,,500.0,100.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_02,,,,[np.float64(752.1923076923077)],"[500, 1000]",,,00:00:00,0.4060905000005732,0.0002900646428575,,,,500.0,150.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_02,,,,[np.float64(752.1923076923077)],"[500, 1000]",,,00:00:00,0.4060905000005732,0.0002900646428575,,,,500.0,200.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_02,,,,[np.float64(752.1923076923077)],"[500, 1000]",,,00:00:00,0.4060905000005732,0.0002900646428575,,,,500.0,250.0,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_06,,,,"[750, 974, 1190]","[500, 1000]",0.4,26.0,00:00:03,3.277216899994528,0.002184811266663,0.1,400.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_06,,,,"[750, 974, 1190]","[500, 1000]",0.4,26.0,00:00:03,3.638681399999769,0.0024257875999998,0.1,300.0,600.0,,,,,
LCDD,AdditionalLogs,gradual_drift_02,600.0,600.0,200.0,"[612, 1245]","[500, 1000]",0.5,112.0,00:00:00,0.022135100000014,1.581078571429576e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_00,,,,"[553, 1174]","[500, 1000]",1.0,113.5,00:00:02,2.928066599997692,0.0019520443999984,0.005,200.0,500.0,,,,,
LCDD,AdditionalLogs,recurring_drift_05,1200.0,1200.0,100.0,[1228],"[500, 1000]",,,00:00:00,0.0191852000061771,1.2790133337451457e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[543, 1083]","[500, 1000]",1.0,63.0,00:00:00,0.7473854999989271,0.0005338467857135,0.0001,300.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_05,600.0,600.0,50.0,[1000],"[500, 1000]",0.6666666666666666,0.0,00:00:00,0.0169617000065045,1.1307800004336362e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_05,,,,"[498, 1041]","[500, 1000]",1.0,21.5,00:00:05,5.183064300006663,0.003702188785719,0.0001,300.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_05,600.0,600.0,20.0,[1000],"[500, 1000]",0.6666666666666666,0.0,00:00:00,0.0220772999964538,1.471819999763587e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_00,,,,"[622, 1368]","[500, 1000]",0.5,122.0,00:00:00,0.6827843999999459,0.0004877031428571,0.05,400.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_07,,,,"[304, 564, 939, 1314]","[500, 1000]",0.6666666666666666,62.5,00:00:00,0.8885661999956938,0.0005923774666637,0.1,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[544, 1079]","[500, 1000]",1.0,61.5,00:00:05,5.843652000003203,0.0038957680000021,0.05,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[577, 1327]","[500, 1000]",0.5,77.0,00:00:02,2.135653600002115,0.001423769066668,0.005,200.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,[584],"[500, 1000]",0.6666666666666666,84.0,00:00:01,1.8421904999995604,0.0012281269999997,0.005,300.0,400.0,,,,,
LCDD,AdditionalLogs,recurring_drift_07,400.0,400.0,10.0,"[502, 1000]","[500, 1000]",1.0,1.0,00:00:00,0.0175797999982023,1.171986666546824e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_05,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.2274487999966368,0.000162463428569,0.05,400.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_03,,,,[1071],"[500, 1000]",0.6666666666666666,71.0,00:00:00,0.7012274000007892,0.0004674849333338,0.0001,200.0,400.0,,,,,
LCDD,AdditionalLogs,sudden_drift_03,300.0,300.0,5.0,"[359, 688, 1009, 1362]","[500, 1000]",0.6666666666666666,75.0,00:00:00,0.0111683000068296,7.445533337886446e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_03,,,,"[525, 1075]","[500, 1000]",1.0,50.0,00:00:02,2.12124230000336,0.0015151730714309,0.1,100.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_08,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.1745623999959207,0.0001246874285685,0.005,400.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_03,,,,[676],"[500, 1000]",0.6666666666666666,176.0,00:00:04,4.093693799994071,0.002729129199996,0.0001,300.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.3415554000021075,0.0002439681428586,0.005,400.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,[950],"[500, 1000]",0.6666666666666666,50.0,00:00:00,0.5900130000009085,0.0003933420000006,0.0001,200.0,500.0,,,,,
LCDD,AdditionalLogs,recurring_drift_03,1200.0,1200.0,200.0,[1348],"[500, 1000]",,,00:00:00,0.0095556999949621,6.370466663308131e-06,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_08,200.0,200.0,5.0,"[208, 416, 649, 862, 1070, 1278]","[500, 1000]",0.5,77.0,00:00:00,0.0144791999991866,1.0342285713704767e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_04,,,,"[633, 1152]","[500, 1000]",1.0,142.5,00:00:03,3.6524882999947295,0.0024349921999964,0.005,200.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_07,,,,"[600, 1155, 1467]","[500, 1000]",0.8,127.5,00:00:00,0.4419438999975682,0.000294629266665,0.1,400.0,400.0,,,,,
LCDD,AdditionalLogs,gradual_drift_04,200.0,200.0,5.0,"[201, 401, 655, 892, 1092, 1334]","[500, 1000]",0.5,95.5,00:00:00,0.0088048000034177,6.28914285958412e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_09,800.0,800.0,5.0,[],"[500, 1000]",,,00:00:00,0.0221063999997568,1.4737599999837887e-05,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_06,300.0,300.0,50.0,"[309, 672, 1008, 1401]","[500, 1000]",0.6666666666666666,90.0,00:00:00,0.2418610000022454,0.0001612406666681,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_00,800.0,800.0,10.0,[1000],"[500, 1000]",0.6666666666666666,0.0,00:00:00,0.0083338999975239,5.555933331682657e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_05,1200.0,1200.0,200.0,[1228],"[500, 1000]",,,00:00:00,0.0211434999946504,1.4095666663100322e-05,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_02,800.0,800.0,20.0,[841],"[500, 1000]",0.6666666666666666,159.0,00:00:00,0.0265025999979116,1.7668399998607734e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[527, 1065]","[500, 1000]",1.0,46.0,00:00:01,1.843562900001416,0.0013168306428581,0.005,200.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,[728],"[500, 1000]",,,00:00:57,57.92993569999817,0.0386199571333321,0.0001,400.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_06,400.0,400.0,100.0,"[500, 919, 1452]","[500, 1000]",0.8,40.5,00:00:00,0.0743928000010782,4.9595200000718856e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_00,,,,"[600, 1158]","[500, 1000]",1.0,129.0,00:00:00,0.2506264000039664,0.0001670842666693,0.1,400.0,400.0,,,,,
LCDD,AdditionalLogs,gradual_drift_03,300.0,300.0,20.0,"[315, 626, 931, 1390]","[500, 1000]",0.6666666666666666,97.5,00:00:00,0.0088963000016519,6.354500001179985e-06,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_01,400.0,400.0,200.0,"[443, 911, 1353]","[500, 1000]",0.8,73.0,00:00:00,0.0290458999952534,2.0747071425181016e-05,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_06,100.0,100.0,5.0,"[103, 251, 401, 503, 627, 768, 913, 1013, 1121, 1239, 1343]","[500, 1000]",0.3076923076923077,8.0,00:00:00,0.0694906999997329,4.96362142855235e-05,,,,,,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,"[np.float64(494.6818181818182), np.float64(700.0666666666667), np.float64(960.5), np.float64(1117.6), np.float64(1271.75), np.float64(1368.5)]","[500, 1000]",0.5,22.409090909090907,00:00:00,0.5022432999976445,0.000358745214284,,,,400.0,40.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,"[np.float64(577.9459459459459), np.float64(994.6521739130435), np.float64(1304.0)]","[500, 1000]",0.8,41.64688601645122,00:00:00,0.5022432999976445,0.000358745214284,,,,400.0,80.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,"[np.float64(564.6410256410256), np.float64(1058.655172413793)]","[500, 1000]",1.0,61.64809902740933,00:00:00,0.5022432999976445,0.000358745214284,,,,400.0,120.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(775.3235294117648)],"[500, 1000]",,,00:00:00,0.5022432999976445,0.000358745214284,,,,400.0,160.0,,,
Zheng DBSCAN,AdditionalLogs,gradual_drift_01,,,,[np.float64(766.1014492753624)],"[500, 1000]",,,00:00:00,0.5022432999976445,0.000358745214284,,,,400.0,200.0,,,
LCDD,AdditionalLogs,gradual_drift_00,300.0,300.0,10.0,"[413, 912]","[500, 1000]",1.0,87.5,00:00:00,0.0083830000003217,5.98785714308698e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[557, 1069]","[500, 1000]",1.0,63.0,00:00:09,9.268331799998125,0.0061788878666654,0.0001,100.0,500.0,,,,,
LCDD,AdditionalLogs,gradual_drift_08,300.0,300.0,100.0,"[323, 649, 950, 1278]","[500, 1000]",0.6666666666666666,99.5,00:00:00,0.0132263999985298,9.44742857037844e-06,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_04,600.0,600.0,5.0,"[633, 1492]","[500, 1000]",0.5,133.0,00:00:00,0.0124021000010543,8.268066667369566e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[573, 1092]","[500, 1000]",1.0,82.5,00:00:03,3.4335404000012204,0.0024525288571437,0.0001,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_08,,,,"[698, 1061, 1336]","[500, 1000]",0.8,129.5,00:00:01,1.4113083999982337,0.0009408722666654,0.1,200.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_02,,,,[450],"[500, 1000]",0.6666666666666666,50.0,00:00:01,1.3684816000022693,0.0009774868571444,0.0001,100.0,500.0,,,,,
LCDD,AdditionalLogs,gradual_drift_06,300.0,300.0,200.0,"[411, 725, 1028, 1392]","[500, 1000]",0.6666666666666666,58.5,00:00:00,0.0669146000000182,4.7796142857155895e-05,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_03,400.0,400.0,100.0,"[417, 914]","[500, 1000]",1.0,84.5,00:00:00,0.0158916000000317,1.0594400000021172e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_09,,,,[600],"[500, 1000]",0.6666666666666666,100.0,00:00:00,0.5164715999999316,0.0003443143999999,0.1,400.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_07,,,,[942],"[500, 1000]",0.6666666666666666,58.0,00:00:00,0.6573221999933594,0.0004695158571381,0.05,200.0,400.0,,,,,
LCDD,AdditionalLogs,sudden_drift_05,400.0,400.0,150.0,"[423, 995, 1497]","[500, 1000]",0.8,41.0,00:00:00,0.1742047000007005,0.0001161364666671,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_00,300.0,300.0,5.0,"[502, 836, 1259]","[500, 1000]",0.8,83.0,00:00:00,0.0090777999939746,6.051866662649748e-06,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_02,1200.0,1200.0,100.0,[1245],"[500, 1000]",,,00:00:00,0.0215746000030776,1.541042857362689e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_00,,,,"[567, 1086]","[500, 1000]",1.0,76.5,00:00:01,1.2029202000048826,0.0008019468000032,0.0001,200.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_09,,,,"[574, 1114]","[500, 1000]",1.0,94.0,00:00:06,6.99933140000212,0.0046662209333347,0.0001,300.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_04,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.1885215000002063,0.0001346582142858,0.1,400.0,700.0,,,,,
LCDD,AdditionalLogs,sudden_drift_06,600.0,600.0,10.0,"[805, 1452]","[500, 1000]",0.5,195.0,00:00:00,0.0809465999991516,5.396439999943444e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_01,,,,"[339, 651, 963, 1742]","[500, 1000]",0.6666666666666666,94.0,00:00:02,2.2924158000023453,0.0015282772000015,0.05,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,"[551, 1035]","[500, 1000]",1.0,43.0,00:00:23,23.828019499997023,0.0158853463333313,0.0001,400.0,400.0,,,,,
LCDD,AdditionalLogs,recurring_drift_05,1200.0,1200.0,50.0,[1228],"[500, 1000]",,,00:00:00,0.0131626999936997,8.775133329133194e-06,,,,,,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_06,,,,"[np.float64(309.5), np.float64(341.0), np.float64(398.5), np.float64(511.5), np.float64(574.0), np.float64(687.25), np.float64(838.5), np.float64(904.0), np.float64(985.1428571428571), np.float64(1072.5), np.float64(1231.0), np.float64(1401.0), np.float64(1454.0)]","[500, 1000]",0.2666666666666667,13.178571428571445,00:00:00,0.7266729000039049,0.0004844486000026,,,,300.0,30.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_06,,,,"[np.float64(351.4), np.float64(532.3333333333334), np.float64(687.25), np.float64(983.3571428571429), np.float64(1231.0), np.float64(1427.5)]","[500, 1000]",0.5,24.48809523809524,00:00:00,0.7266729000039049,0.0004844486000026,,,,300.0,60.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_06,,,,"[np.float64(351.4), np.float64(605.2352941176471), np.float64(983.3571428571429), np.float64(1231.0), np.float64(1427.5)]","[500, 1000]",0.5714285714285715,60.93907563025209,00:00:00,0.7266729000039049,0.0004844486000026,,,,300.0,90.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_06,,,,"[np.float64(717.0277777777778), np.float64(1231.0), np.float64(1427.5)]","[500, 1000]",,,00:00:00,0.7266729000039049,0.0004844486000026,,,,300.0,120.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_06,,,,"[np.float64(730.918918918919), np.float64(1427.5)]","[500, 1000]",,,00:00:00,0.7266729000039049,0.0004844486000026,,,,300.0,150.0,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_09,,,,"[547, 1014]","[500, 1000]",1.0,30.5,00:00:06,6.350552399999288,0.0042337015999995,0.05,100.0,700.0,,,,,
LCDD,AdditionalLogs,recurring_drift_01,800.0,800.0,5.0,[1261],"[500, 1000]",,,00:00:00,0.0308750000040163,2.058333333601089e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_00,,,,"[531, 1047]","[500, 1000]",1.0,39.0,00:00:02,2.6229681999975583,0.001748645466665,0.1,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_03,,,,"[312, 624, 1050]","[500, 1000]",0.8,87.0,00:00:01,1.2181122999973013,0.0008120748666648,0.005,100.0,700.0,,,,,
LCDD,AdditionalLogs,recurring_drift_01,600.0,600.0,10.0,"[618, 1261]","[500, 1000]",0.5,118.0,00:00:00,0.0294009999997797,1.960066666651983e-05,,,,,,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_03,,,,"[np.float64(911.0), np.float64(1188.0), np.float64(1377.0)]","[500, 1000]",0.4,89.0,00:00:00,0.3647109000012278,0.0002431406000008,,,,700.0,70.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_03,,,,"[np.float64(911.0), np.float64(1282.5)]","[500, 1000]",0.5,89.0,00:00:00,0.3647109000012278,0.0002431406000008,,,,700.0,140.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_03,,,,"[np.float64(911.0), np.float64(1282.5)]","[500, 1000]",0.5,89.0,00:00:00,0.3647109000012278,0.0002431406000008,,,,700.0,210.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_03,,,,[np.float64(759.9090909090909)],"[500, 1000]",,,00:00:00,0.3647109000012278,0.0002431406000008,,,,700.0,280.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_03,,,,[np.float64(759.9090909090909)],"[500, 1000]",,,00:00:00,0.3647109000012278,0.0002431406000008,,,,700.0,350.0,,,
LCDD,AdditionalLogs,recurring_drift_01,400.0,400.0,200.0,"[424, 1043]","[500, 1000]",1.0,59.5,00:00:00,0.0291198000049917,1.94132000033278e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,[603],"[500, 1000]",0.6666666666666666,103.0,00:00:02,2.9708171999955084,0.001980544799997,0.0001,200.0,400.0,,,,,
LCDD,AdditionalLogs,recurring_drift_06,100.0,100.0,10.0,"[143, 248, 356, 464, 569, 672, 778, 882, 986, 1183, 1318, 1454]","[500, 1000]",0.2857142857142857,25.0,00:00:00,0.0728295000008074,4.855300000053831e-05,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_08,300.0,300.0,100.0,"[308, 626, 932, 1233]","[500, 1000]",0.6666666666666666,97.0,00:00:00,0.0120720000049914,8.048000003327616e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_06,400.0,400.0,50.0,"[500, 939, 1401]","[500, 1000]",0.8,30.5,00:00:00,0.0683313000045018,4.555420000300122e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_00,,,,"[600, 1201]","[500, 1000]",0.5,100.0,00:00:00,0.1603592999963439,0.0001069061999975,0.005,400.0,500.0,,,,,
LCDD,AdditionalLogs,recurring_drift_04,200.0,200.0,100.0,"[261, 500, 719, 928, 1177, 1391]","[500, 1000]",0.5,36.0,00:00:00,0.0179553999987547,1.1970266665836486e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_03,,,,"[530, 1083]","[500, 1000]",1.0,56.5,00:00:02,2.0526161000016145,0.001466154357144,0.005,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_07,,,,[940],"[500, 1000]",0.6666666666666666,60.0,00:00:00,0.4252846000017598,0.0003037747142869,0.1,200.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[457, 1082, 1457]","[500, 1000]",0.8,62.5,00:00:01,1.3044664000044577,0.0008696442666696,0.1,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_05,,,,"[466, 1012, 1336]","[500, 1000]",0.8,23.0,00:00:01,1.0544135000018289,0.0007531525000013,0.05,300.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_01,,,,"[1047, 1695]","[500, 1000]",0.5,47.0,00:00:01,1.8126981999957927,0.0012084654666638,0.0001,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_04,,,,"[540, 1188]","[500, 1000]",1.0,114.0,00:00:00,0.2936004000002867,0.0002097145714287,0.005,300.0,600.0,,,,,
LCDD,AdditionalLogs,gradual_drift_01,1200.0,1200.0,10.0,[1248],"[500, 1000]",,,00:00:00,0.0288407000043662,2.060050000311873e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_05,,,,"[413, 1037, 1661]","[500, 1000]",0.8,62.0,00:00:02,2.262026500000502,0.001508017666667,0.05,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[603, 1227]","[500, 1000]",0.5,103.0,00:00:03,3.031571899999108,0.0020210479333327,0.0001,200.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_06,,,,"[468, 1008]","[500, 1000]",1.0,20.0,00:00:04,4.415452400004142,0.0031538945714315,0.005,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_02,,,,"[600, 1156]","[500, 1000]",1.0,128.0,00:00:00,0.5666593999994802,0.0004047567142853,0.1,400.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,"[581, 893, 1268]","[500, 1000]",0.8,94.0,00:00:00,0.3900636000034865,0.0002600424000023,0.05,200.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_03,,,,"[558, 1098]","[500, 1000]",1.0,78.0,00:00:00,0.6702854000031948,0.0004787752857165,0.0001,300.0,700.0,,,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_04,,,,"[np.float64(849.0), np.float64(1024.5882352941176), np.float64(1492.0)]","[500, 1000]",0.4,24.588235294117567,00:00:00,0.4887734000003547,0.0003258489333335,,,,800.0,80.0,,,
Zheng DBSCAN,AdditionalLogs,sudden_drift_04,,,,"[np.float64(1014.8333333333334), np.float64(1492.0)]","[500, 1000]",0.5,14.833333333333371,00:00:00,0.4887734000003547,0.0003258489333335,,,,800.0,160.0,,,
