Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
LCDD,AdditionalLogs,gradual_drift_02,100.0,100.0,100.0,"[102, 231, 334, 436, 540, 642, 743, 856, 956, 1063, 1167, 1272, 1374]","[500, 1000]",0.2666666666666667,42.0,00:00:00,0.0201820000002044,1.4415714285860304e-05,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_07,300.0,300.0,10.0,"[416, 768, 1068]","[500, 1000]",0.8,76.0,00:00:00,0.0101517000002786,7.251214285913323e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,"[717, 1667]","[500, 1000]",,,00:00:11,11.14820370000234,0.0074321358000015,0.05,300.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,"[612, 1462]","[500, 1000]",0.5,112.0,00:00:04,4.830017299995234,0.0032200115333301,0.05,400.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_05,,,,[600],"[500, 1000]",0.6666666666666666,100.0,00:00:00,0.5042568999997457,0.0003361712666664,0.0001,400.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_00,,,,"[528, 1091, 1424]","[500, 1000]",0.8,59.5,00:00:01,1.6546910000033677,0.0011031273333355,0.1,100.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_08,,,,[726],"[500, 1000]",,,00:00:03,3.9068194999999832,0.0026045463333333,0.0001,100.0,400.0,,,,,
LCDD,AdditionalLogs,gradual_drift_09,800.0,800.0,50.0,[920],"[500, 1000]",0.6666666666666666,80.0,00:00:00,0.0469204000037279,3.351457143123428e-05,,,,,,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_09,,,,"[np.float64(497.4), np.float64(917.0), np.float64(1012.1111111111111)]","[500, 1000]",0.8,7.355555555555554,00:00:00,0.3053565000009257,0.0002035710000006,,,,400.0,40.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_09,,,,"[np.float64(497.4), np.float64(994.8181818181819)]","[500, 1000]",1.0,3.890909090909077,00:00:00,0.3053565000009257,0.0002035710000006,,,,400.0,80.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_09,,,,"[np.float64(497.4), np.float64(994.8181818181819)]","[500, 1000]",1.0,3.890909090909077,00:00:00,0.3053565000009257,0.0002035710000006,,,,400.0,120.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_09,,,,"[np.float64(497.4), np.float64(994.8181818181819)]","[500, 1000]",1.0,3.890909090909077,00:00:00,0.3053565000009257,0.0002035710000006,,,,400.0,160.0,,,
Zheng DBSCAN,AdditionalLogs,recurring_drift_09,,,,"[np.float64(497.4), np.float64(994.8181818181819)]","[500, 1000]",1.0,3.890909090909077,00:00:00,0.3053565000009257,0.0002035710000006,,,,400.0,200.0,,,
LCDD,AdditionalLogs,recurring_drift_01,800.0,800.0,20.0,[1261],"[500, 1000]",,,00:00:00,0.0259351999993668,1.729013333291126e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_03,,,,"[571, 1038]","[500, 1000]",1.0,54.5,00:00:03,3.930094199997257,0.0026200627999981,0.1,300.0,700.0,,,,,
LCDD,AdditionalLogs,gradual_drift_05,300.0,300.0,100.0,"[318, 627, 935, 1251]","[500, 1000]",0.6666666666666666,96.0,00:00:00,0.0144153000001097,1.029664285722122e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_04,,,,"[638, 1286]","[500, 1000]",0.5,138.0,00:00:03,3.570652299997164,0.0023804348666647,0.005,300.0,500.0,,,,,
LCDD,AdditionalLogs,gradual_drift_02,1200.0,1200.0,20.0,[1245],"[500, 1000]",,,00:00:00,0.0206198999949265,1.4728499996376091e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[600, 1200]","[500, 1000]",1.0,150.0,00:00:00,0.3545038000011118,0.0002532170000007,0.1,400.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_06,,,,"[465, 1005]","[500, 1000]",1.0,20.0,00:00:03,3.8994118999980856,0.0027852942142843,0.05,300.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_00,,,,"[611, 1151]","[500, 1000]",1.0,131.0,00:00:01,1.985185999998066,0.0014179899999986,0.1,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_01,,,,"[450, 1000, 1266]","[500, 1000]",0.8,25.0,00:00:01,1.0215505999949528,0.0007296789999963,0.05,300.0,400.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[572, 1080]","[500, 1000]",1.0,76.0,00:00:09,9.1172527000017,0.0060781684666678,0.0001,300.0,600.0,,,,,
LCDD,AdditionalLogs,recurring_drift_02,200.0,200.0,150.0,"[207, 419, 637, 841, 1041, 1252, 1478]","[500, 1000]",0.4444444444444445,61.0,00:00:00,0.024352499996894,1.623499999792936e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_01,,,,"[555, 1095]","[500, 1000]",1.0,75.0,00:00:06,6.293757400002505,0.0044955410000017,0.0001,300.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_06,200.0,200.0,10.0,"[210, 410, 610, 822, 1022, 1227, 1429]","[500, 1000]",0.4444444444444445,56.0,00:00:00,0.083606599997438,5.573773333162535e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[216, 496, 887, 1391]","[500, 1000]",0.6666666666666666,58.5,00:00:05,5.743555499997456,0.0041025396428553,0.05,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_04,,,,"[490, 1143]","[500, 1000]",1.0,76.5,00:00:01,1.94276119999995,0.0013876865714285,0.05,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_06,,,,"[551, 1035]","[500, 1000]",1.0,43.0,00:00:20,20.81318189999729,0.0138754545999981,0.0001,200.0,400.0,,,,,
LCDD,AdditionalLogs,gradual_drift_07,800.0,800.0,20.0,[915],"[500, 1000]",0.6666666666666666,85.0,00:00:00,0.0156207000036374,1.1157642859741048e-05,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_09,100.0,100.0,150.0,"[408, 524, 920, 1025, 1126, 1278]","[500, 1000]",0.5,24.5,00:00:00,0.0263195999941672,1.8799714281548013e-05,,,,,,,,
