Algorithm,Accuracy,Latency,Versatility,Scalability,Milliseconds per Case,Milliseconds per Event,Parameter Sensitivity (IQR),Robustness
PGM,0.39215686274509803,51.16666666666667,0.22916666666666666,00:00:02,2.7719586991282696,0.1390598331706978,0.0968425255390348,0.5062705118689811
RINV,0.39344262295081966,21.97857142857145,0.25,00:00:00,0.7948394473684123,0.039874418397107,0.34210689100691627,0.5000436914568728
LCDD,0.41379310344827586,26.0,0.25,00:00:00,0.032113150096658695,0.001611008597073002,0.3613375871440388,0.5
J-Measure,0.41509433962264153,38.45454545454545,0.22916666666666666,00:04:24,250.4230441389474,12.56288080735538,0.0,0.525969305102589
Window Count,0.39215686274509803,43.599999999999994,0.20833333333333331,00:04:12,238.91608548210527,11.985615442028761,0.0,0.516284321622962
ProDrift,0.4615384615384615,14.833333333333343,0.25,00:00:53,50.94252604315778,2.555614979069947,0.0,0.49995326551380476
EMD,0.3157894736842105,52.33333333333334,0.21875,00:00:24,23.094151174736716,1.1585557932691102,0.0,0.6049674129053705
ADWIN J,0.4,74.10000000000001,0.20833333333333331,00:00:49,46.96792190140338,2.3562224740352407,0.03774538798938071,0.49458126716009815
